id_registro,ano_filmagem,ano_cerimonia,cerimonia,categoria,nome_do_indicado,nome_do_filme,vencedor
1,1927,1928,1,ACTOR,"Richard Barthelmess","The Noose",false
2,1927,1928,1,ACTOR,"Emil Jannings","The Last Command",true
3,1927,1928,1,ACTRESS,"Louise Dresser","A Ship Comes In",false
4,1927,1928,1,ACTRESS,"Janet Gaynor","7th Heaven",true
5,1927,1928,1,ACTRESS,"Gloria Swanson","Sadie Thompson",false
6,1927,1928,1,"ART DIRECTION","Rochus Gliese",Sunrise,false
7,1927,1928,1,"ART DIRECTION","William Cameron Menzies","The Dove;",true
8,1927,1928,1,"ART DIRECTION","Harry Oliver","7th Heaven",false
9,1927,1928,1,CINEMATOGRAPHY,"George Barnes","The Devil Dancer;",false
10,1927,1928,1,CINEMATOGRAPHY,"Charles Rosher",Sunrise,true
11,1927,1928,1,CINEMATOGRAPHY,"Karl Struss",Sunrise,true
12,1927,1928,1,"DIRECTING (Comedy Picture)","Lewis Milestone","Two Arabian Knights",true
13,1927,1928,1,"DIRECTING (Comedy Picture)","Ted Wilde",Speedy,false
14,1927,1928,1,"DIRECTING (Dramatic Picture)","Frank Borzage","7th Heaven",true
15,1927,1928,1,"DIRECTING (Dramatic Picture)","Herbert Brenon","Sorrell and Son",false
16,1927,1928,1,"DIRECTING (Dramatic Picture)","King Vidor","The Crowd",false
17,1927,1928,1,"ENGINEERING EFFECTS","Ralph Hammeras",NULL,false
18,1927,1928,1,"ENGINEERING EFFECTS","Roy Pomeroy",Wings,true
19,1927,1928,1,"ENGINEERING EFFECTS","Nugent Slaughter",NULL,false
20,1927,1928,1,"OUTSTANDING PICTURE","The Caddo Company","The Racket",false
21,1927,1928,1,"OUTSTANDING PICTURE",Fox,"7th Heaven",false
22,1927,1928,1,"OUTSTANDING PICTURE","Paramount Famous Lasky",Wings,true
23,1927,1928,1,"UNIQUE AND ARTISTIC PICTURE",Fox,Sunrise,true
24,1927,1928,1,"UNIQUE AND ARTISTIC PICTURE",Metro-Goldwyn-Mayer,"The Crowd",false
25,1927,1928,1,"UNIQUE AND ARTISTIC PICTURE","Paramount Famous Lasky",Chang,false
26,1927,1928,1,"WRITING (Adaptation)","Alfred Cohn","The Jazz Singer",false
